speed,x
25000,0.01
25022.3,0.1
24949.1,0.10023
24656,0.12254
24289.6,0.12998
23923.2,0.13741
23556.7,0.14485
23190.3,0.15228
22457.5,0.15971
22823.9,0.15971
22091.1,0.16714
21724.6,0.17458
21358.2,0.18201
21065.1,0.18944
19965.8,0.20431
19599.4,0.21174
18866.6,0.21917
19233,0.21917
18500.1,0.2266
18133.7,0.23404
17767.3,0.24147
17400.9,0.2489
16741.3,0.25633
17107.7,0.25634
16374.9,0.26377
16008.5,0.2712
15642.1,0.27863
15275.6,0.28607
14909.2,0.2935
13425.2,0.31673
12664.9,0.33345
12106.1,0.33995
11364.1,0.35668
10438.9,0.37526
10072.5,0.3827
9706,0.39013
9339.6,0.39756
8973.2,0.405
8680.1,0.41243
8002.2,0.42358
7535,0.42915
7022,0.43844
6454.1,0.45796
6051,0.47562
5583.8,0.497
5015.9,0.52396
4722.8,0.54627
4503,0.57601
4283.1,0.60576
4136.6,0.63551
3990,0.6727
3843.5,0.70245
3770.2,0.73964
3697,0.77682
3550.5,0.81401
3403.9,0.84376
3257.4,0.88095
3184.1,0.91814
3037.6,0.94789
2891,0.98507
2817.8,1.02226
2744.5,1.05945
2671.3,1.0892
2598,1.12639
2524.8,1.16357
2451.5,1.20076
2378.2,1.23051
2305,1.2677
2231.7,1.30489
2158.5,1.34208
2085.2,1.37926
2085.3,1.40902
2012,1.4462
2012,1.48339
1938.8,1.52058
1865.5,1.55777
1865.6,1.59496
1792.3,1.63215
1792.3,1.66933
1719.1,1.69908
1719.1,1.73627
1645.9,1.77346
1645.9,1.81065
1572.6,1.84784
1572.7,1.88503
1499.4,1.92221
1499.5,1.9594
1499.5,1.99659
1499.5,2.02634
1426.3,2.06353
1426.3,2.10072
1353,2.13047
1353.1,2.16766
1353.1,2.20485
1353.1,2.24204
1279.9,2.27923
1279.9,2.31641
1279.9,2.3536
1206.7,2.39079
1206.7,2.42798
1206.7,2.46517
1206.8,2.50236
1206.8,2.53955
1133.6,2.57673
1133.6,2.61392
1133.6,2.65111
1133.7,2.6883
1060.4,2.72549
1060.4,2.76268
1060.5,2.79987
1060.5,2.83706
1060.5,2.87424
987.3,2.90399
987.3,2.94118
987.3,2.97837
987.4,3.01556
987.4,3.05275
987.4,3.08994
914.2,3.12713
914.2,3.16431
914.2,3.2015
914.3,3.23869
914.3,3.27588
914.3,3.31307
914.4,3.35026
914.4,3.38745
841.1,3.42464
841.2,3.46182
841.2,3.49901
841.2,3.5362
841.3,3.57339
841.3,3.61058
841.3,3.64777
841.4,3.68496
768.1,3.72215
768.2,3.75933
768.2,3.79652
768.2,3.83371
768.2,3.8709
768.3,3.90809
768.3,3.94528
768.3,3.98247
768.4,4.01966
768.4,4.05685
768.4,4.09403
768.5,4.13122
768.5,4.16841
695.2,4.19816
695.3,4.23535
695.3,4.27254
695.3,4.30973
695.4,4.34692
695.4,4.38411
695.4,4.42129
695.5,4.45848
695.5,4.49567
695.5,4.53286
622.3,4.57005
695.6,4.60724
695.6,4.64443
695.7,4.68162
622.4,4.7188
622.4,4.75599
622.5,4.79318
622.5,4.83037
622.5,4.86756
622.6,4.90475
622.6,4.94194
622.6,4.97913
622.7,5.01632
622.7,5.0535
622.7,5.09069
622.8,5.12788
622.8,5.16507
622.8,5.20226
622.9,5.23945
549.6,5.2692
549.6,5.30639
549.7,5.34358
549.7,5.38076
549.7,5.41795
549.8,5.45514
549.8,5.49233
549.8,5.52952
549.9,5.56671
549.9,5.6039
549.9,5.64109
549.9,5.67828
550,5.71546
550,5.75265
550,5.78984
550.1,5.82703
550.1,5.86422
550.1,5.90141
550.2,5.9386
550.2,5.97579
477,6.01297
550.3,6.05016
477,6.07991
477,6.1171
477.1,6.15429
477.1,6.19148
477,6.2
1,6.2
