x,PB43
1.0297,10.037
1.099,10.038
1.173,10.038
1.252,10.038
1.3364,10.038
1.4264,10.039
1.5224,10.039
1.625,10.039
1.7344,10.039
1.8512,10.04
1.9759,10.04
2.1089,10.04
2.251,10.04
2.4026,10.041
2.5644,10.041
2.7371,10.041
2.9214,10.041
3.1182,10.042
3.3282,10.042
3.5523,10.042
3.7916,10.042
4.0469,10.043
4.3195,10.043
4.6104,10.043
4.9209,10.043
5.2523,10.044
5.6061,10.044
5.9836,10.044
6.3866,10.044
6.8167,10.044
7.2758,10.045
7.766,10.045
8.289,10.045
8.847,10.045
9.443,10.046
10.079,10.046
10.758,10.046
11.482,10.046
12.255,10.047
13.081,10.047
13.962,10.047
14.902,10.047
15.906,10.048
16.977,10.048
18.12,10.048
19.341,10.048
20.643,10.049
22.034,10.049
23.517,10.049
25.101,10.049
26.792,10.05
28.596,10.05
30.522,10.05
32.578,10.05
34.772,10.051
37.114,10.051
39.613,10.051
42.281,10.051
45.129,10.052
48.168,10.052
51.412,10.052
54.874,10.052
58.57,10.052
62.515,10.053
66.725,10.053
71.219,10.053
76.015,10.053
81.13,10.054
86.6,10.054
92.43,10.054
98.66,10.054
105.3,10.055
112.39,10.055
119.96,10.055
128.04,10.055
136.66,10.056
145.87,10.056
155.69,10.056
166.18,10.056
177.37,10.057
189.31,10.057
202.06,10.057
215.67,10.057
230.2,10.058
245.7,10.058
262.25,10.058
279.91,10.058
298.76,10.059
318.88,10.059
340.36,10.059
363.28,10.059
387.75,10.06
413.86,10.06
441.74,10.06
471.49,10.06
503.24,10.061
537.13,10.061
573.31,10.061
611.92,10.061
653.13,10.061
697.12,10.062
744.07,10.062
794.2,10.062
847.7,10.062
904.8,10.063
965.7,10.063
1030.7,9.528
1085.8,9.021
1158.9,8.542
1220.8,8.087
1303,7.657
1372.7,7.25
1465.1,6.865
1543.4,6.324
1647.3,5.988
1735.4,5.67
1852.1,5.368
1951.2,5.083
2082.5,4.812
2222.7,4.556
2341.5,4.314
2499.1,4.085
2632.8,3.868
2810,3.6619
3159.4,3.1943
3372,3.0245
3552.3,2.8636
3791.4,2.7114
4032.6,0.00998
